Magnetic Field	ODEPR Signal
Tesla	
11750	-0.0011215519872822
11760	-0.00111763312098104
11770	-0.00112137387669969
11780	-0.00112031831699015
11790	-0.00113228262074287
11800	-0.00113611520361507
11810	-0.00112607060849489
11820	-0.00112540543234727
11830	-0.00111894065921003
11840	-0.00111739653559576
11850	-0.00111198976918718
11860	-0.00110966388535788
11870	-0.0010848631343611
11880	-0.00107217460392495
11890	-0.00107944744683657
11900	-0.00105866195236071
11910	-0.00105126501804675
11920	-0.00105244721213488
11930	-0.00102735237461547
11940	-0.00103560661967651
11950	-9.96685215483671E-4
11960	-9.81098184068988E-4
11970	-9.75120773110733E-4
11980	-9.48179094196965E-4
11990	-9.2607333310713E-4
12000	-8.95000952548949E-4
12010	-8.88263417515555E-4
12020	-8.82051897266596E-4
12030	-8.66486152155373E-4
12040	-8.4461722017532E-4
12050	-8.43937689944317E-4
12060	-8.32671417846624E-4
12070	-8.29645081214298E-4
12080	-8.39173207377748E-4
12090	-8.47310708684561E-4
12100	-8.1652967831912E-4
12110	-8.29038141638105E-4
12120	-8.29935782879932E-4
12130	-8.25911814575604E-4
12140	-8.41989508384244E-4
12150	-8.36701956878123E-4
12160	-8.46395247372941E-4
12170	-8.69746340008741E-4
12180	-8.9194350878766E-4
12190	-8.96925588447765E-4
12200	-8.9610329672967E-4
12210	-8.92941228956417E-4
12220	-9.1383439035493E-4
12230	-9.14730941779236E-4
12240	-9.16340170873086E-4
12250	-9.06499059210027E-4
12260	-8.80315500412855E-4
12270	-8.69146520781032E-4
12280	-8.56745925864611E-4
12290	-8.21604442145521E-4
12300	-7.55411228311681E-4
12310	-7.2133702326472E-4
12320	-6.54978247902851E-4
12330	-5.91497952067991E-4
12340	-4.95869795184924E-4
12350	-4.07299426710696E-4
12360	-3.84821235313876E-4
12370	-3.00172399652405E-4
12380	-2.18551504194779E-4
12390	-1.59117107851284E-4
12400	-1.3299805139533E-4
12410	-6.24585985237152E-5
12420	-2.11803436222251E-5
12430	-5.39576139943633E-5
12440	-7.48079390355828E-5
12450	-5.06958231238037E-5
12460	-3.56054678454415E-5
12470	-1.18684832426379E-4
12480	-1.85559536974413E-4
