Wavenumbers	Absorbance/g
cm\+(-1)	
2667.96	133.13571
2669.89	133.06429
2671.81	133.12
2673.74	133.10429
2675.66	133.14
2677.59	133.09429
2679.51	133.12571
2681.44	133.15
2683.36	133.17
2685.29	133.18
2687.21	133.21
2689.14	133.18571
2691.06	133.17571
2692.99	133.24571
2694.91	133.26571
2696.84	133.21
2698.76	133.23571
2700.69	133.23
2702.61	133.19
2704.54	133.25143
2706.46	133.13571
2708.39	133.29143
2710.31	133.28143
2712.24	133.33571
2714.16	133.38143
2716.09	133.32571
2718.01	133.35571
2719.94	133.36143
2721.86	133.40143
2723.79	133.42714
2725.71	133.44714
2727.64	133.44143
2729.56	133.48714
2731.48	133.56714
2733.41	133.61286
2735.33	133.61286
2737.26	133.52286
2739.18	133.60286
2741.11	133.66857
2743.03	133.60286
2744.96	133.64286
2746.88	133.66286
2748.81	133.68286
2750.73	133.63286
2752.66	133.64857
2754.58	133.72857
2756.51	133.79429
2758.43	133.81429
2760.36	133.77429
2762.28	133.80857
2764.21	133.80429
2766.13	133.98
2768.06	133.93429
2769.98	133.93429
2771.91	134.05
2773.83	134.06571
2775.76	134.05571
2777.68	134.11571
2779.61	134.1
2781.53	134.18143
2783.46	134.17143
2785.38	134.25571
2787.31	134.27571
2789.23	134.38143
2791.16	134.35714
2793.08	134.41714
2795.01	134.40714
2796.93	134.49714
2798.86	134.54857
2800.78	134.53286
2802.71	134.61286
2804.63	134.76429
2806.56	134.72857
2808.48	134.83
2810.41	134.92
2812.33	135.00571
2814.26	134.97571
2816.18	134.94
2818.11	135.04
2820.03	135.05
2821.96	135.09143
2823.88	135.17571
2825.81	135.26143
2827.73	135.30714
2829.66	135.30143
2831.58	135.50286
2833.51	135.54286
2835.43	135.58857
2837.36	135.64429
2839.28	135.74429
2841.21	135.83571
2843.13	135.91
2845.06	136.14143
2846.98	136.24286
2848.91	136.28714
2850.83	136.33714
2852.76	136.34286
2854.68	136.29714
2856.61	136.39857
2858.53	136.38857
2860.46	136.54857
2862.38	136.50857
2864.31	136.54857
2866.23	136.62
2868.16	136.56429
2870.08	136.74
2872.01	136.61429
2873.93	136.74
2875.86	136.59857
2877.78	136.74571
2879.71	136.68
2881.63	136.81571
2883.55	136.77571
2885.48	136.81
2887.4	136.97143
2889.33	136.99714
2891.25	137.14286
2893.18	137.19286
2895.1	137.30857
