Wavelength	Absorbance	Wavelength	Absorbance
nm		nm	
1246.5	0.26145	1422.4	0.19267
1247.4	0.26045	1422.7	0.18917
1248	0.25673	1423	0.17819
1248.9	0.25638	1423.3	0.1762
1249.2	0.25995	1423.6	0.16971
1250.1	0.25945	1424.2	0.16421
1251.3	0.25844	1424.9	0.15872
1251.3	0.25421	1425.8	0.15336
1252.5	0.25844	1426.7	0.14656
1254	0.25744	1427.3	0.1412
1254.9	0.25195	1428.2	0.13525
1255.5	0.25644	1428.8	0.13175
1257.3	0.24995	1430	0.12526
1259.8	0.24795	1430.9	0.12176
1261.3	0.24694	1431.8	0.11627
1263.1	0.24494	1433	0.11077
1265.5	0.24194	1434.2	0.10627
1267.6	0.24044	1435.7	0.10178
1269.4	0.23894	1436.6	0.09878
1272.1	0.23704	1437.8	0.09629
1275.1	0.23525	1440.2	0.09241
1277.8	0.23293	1442	0.0905
1281.1	0.23042	1443.8	0.08759
1283.5	0.22842	1445.9	0.08568
1286.5	0.2259	1448.6	0.08374
1288.6	0.22392	1452.2	0.08072
1290.1	0.22247	1456.8	0.0782
1290.8	0.22205	1460.4	0.07669
1291.7	0.22164	1463.4	0.07517
1293.8	0.22087	1466.1	0.07466
1296.2	0.2194	1470.3	0.07366
1299.2	0.21807	1473.6	0.07239
1301	0.2173	1477.8	0.07116
1304	0.21539	1481.8	0.07038
1306.4	0.21339	1485.1	0.07006
1309.7	0.21088	1486.9	0.06906
1313	0.20903	1489.9	0.06904
1315.7	0.20683	1490.5	0.06804
1319.6	0.20437	1492.9	0.06653
1323.2	0.20153	1493.5	0.06702
1326	0.19986	1498	0.0655
1329.3	0.19838	1503.4	0.06447
1333.2	0.19631	1505.3	0.06396
1335.6	0.1953	1510.1	0.06346
1337.7	0.19384	1514.6	0.06286
1340.7	0.19194	1516.1	0.06241
1342.2	0.19107	1518.8	0.06189
1343.4	0.19019	1521.5	0.06138
1347.6	0.18752	1523.6	0.06037
1349.4	0.18665	1527.5	0.05835
1351.5	0.1853	1531.8	0.05633
1353.3	0.18395	1534.8	0.05581
1355.1	0.18259	1539.9	0.05528
1358.5	0.18081	1546.5	0.05375
1360.6	0.1788	1549.2	0.05323
1364.5	0.1763	1553.4	0.0521
1366	0.1748	1559.5	0.05073
1368.4	0.17329	1564.9	0.04916
1371.4	0.17129	1570.9	0.04712
1373.8	0.16978	1576	0.0461
1375.9	0.16878	1579.3	0.04508
1378	0.16728	1580	0.04458
1380.1	0.16577	1582.4	0.04407
1381.3	0.16527	1584.5	0.04355
1382.8	0.16477	1589.6	0.04212
1384.3	0.1649	1592.9	0.0418
1385.8	0.16504	1597.7	0.04098
1386.4	0.16559	1602.9	0.03931
1387.3	0.16618	1606.2	0.0397
1388.2	0.16675	1609.5	0.039
1388.8	0.16824	1610.7	0.03856
1390	0.17023	1612.6	0.03915
1390.6	0.17123	1614.1	0.03973
1390.9	0.17222	1616.2	0.03783
1391.5	0.17472	1618	0.03838
1392.1	0.17721	1619.2	0.03887
1393	0.1797	1621.6	0.03836
1393.6	0.18272	1623.8	0.03785
1393.9	0.18525	1630.1	0.03731
1394.5	0.18782	1633.2	0.0368
1394.8	0.19035	1635.9	0.03578
1395.4	0.19492	1639.5	0.03526
1395.7	0.19695	1642.9	0.0344
1396.3	0.20102	1644.1	0.034
1396.6	0.20305	1648.6	0.03272
1397.5	0.20662	1652.9	0.03219
1398.1	0.21111	1657.4	0.03117
1398.4	0.2136	1661.3	0.03026
1399	0.21709	1665.6	0.02953
1399.6	0.22008	1669.2	0.02811
1399.9	0.22257	1673.5	0.02709
1400.5	0.22656	1678.9	0.02606
1401.1	0.23105	1681.9	0.02504
1401.4	0.23205	1684.4	0.02462
1402	0.23553	1688.9	0.02451
1402.3	0.23753	1692.9	0.02398
1402.9	0.23952	1696.5	0.02318
1403.2	0.24102	1699.5	0.023
1404.1	0.24511	1703.8	0.02293
1404.7	0.24668	1706.2	0.02241
1405.3	0.24975	1706.8	0.02191
1405.9	0.25183	1709.8	0.02189
1406.2	0.25336	1713.8	0.02187
1406.5	0.2544	1715.9	0.02136
1407.1	0.25647	1719.2	0.02084
1407.4	0.25746	1722.6	0.02049
1408	0.25896	1723.8	0.02006
1408.3	0.25996	1726.8	0.01972
1408.9	0.26045	1731	0.01976
1409.5	0.26095	1736.8	0.01925
1410.1	0.26145	1742.2	0.01881
1410.7	0.26045	1747.1	0.01869
1411	0.25895	1748	0.01856
1411.6	0.25745	1756.5	0.01805
1412.3	0.25695	1767	0.01803
1412.6	0.25446	1773.4	0.01764
1413.2	0.25196	1774.6	0.01726
1413.5	0.24647	1777.9	0.01704
1413.8	0.24497	1784.3	0.01632
1414.4	0.24198	1785.8	0.01588
1414.7	0.23699	1794.2	0.01523
1415	0.23499	1803	0.0151
1415.3	0.2315	1808	0.01485
1415.9	0.22901	1815.8	0.01579
1416.2	0.22701	1821.8	0.01565
1416.8	0.22152	1823.8	0.01527
1417.1	0.21953	1831.3	0.01592
1417.4	0.21603	1834.9	0.01641
1417.7	0.21404	1846.5	0.01589
1418	0.21055	1848	0.01539
1418.3	0.20805	1848.9	0.01489
1418.6	0.20506	1850.4	0.01448
1419.2	0.20156	1852.2	0.01408
1419.8	0.19757	1854.6	0.01323
1420.1	0.19508	1855.5	0.01278
1420.4	0.19358	1856.1	0.01331
1420.7	0.19158	1857.3	0.01239
1421.3	0.18809	1864.2	0.01226
1421.9	0.18609	1874	0.01235
1422.2	0.1816	1883	0.01119
1423.2	0.17711	1886.8	0.01083
1423.5	0.17611	1897	0.01081
1424.1	0.17262	1898.5	0.0103
1425	0.16863	1903	0.0098
1426.2	0.16535	1904.2	0.0103
1426.5	0.16392	1908.9	0.01025
1427.1	0.16205	1914.3	0.00978
1427.7	0.15964	1918.8	0.00897
1428.3	0.15665	1925.7	0.00876
1428.9	0.15465	1932.2	0.00775
1429.8	0.15165	1934.9	0.0073
1430.7	0.14916	1941.5	0.00624
1431	0.14766	1948	0.00612
1432.2	0.14516	1952.5	0.0061
1433.4	0.14316	1960	0.0057
1434.6	0.14116	1967.4	0.00568
1436.1	0.13966	1974.6	0.0052
1437.6	0.13767	1983	0.00523
1439.4	0.13577	1985.1	0.00485
1441.6	0.13387	1995.5	0.00464
1443.4	0.13247	1997.9	0.00414
1445.8	0.13058	2007.8	0.00333
1448.5	0.12865	2010.5	0.00297
1451.5	0.12665	2022.8	0.0041
1452.4	0.12565	2033.6	0.00408
1454.8	0.12414	2043.8	0.00406
1456.9	0.12264	2048	0.00495
1459.6	0.12064	2057	0.00453
1463.3	0.11863		
1466	0.11712		
1467.8	0.11612		
1470.2	0.11463		
1471.4	0.11472		
1474.1	0.11391		
1476.2	0.11356		
1478	0.11267		
1478.9	0.11172		
1481	0.11085		
1483.1	0.11047		
1483.7	0.11		
1484.9	0.10957		
1486.5	0.10858		
1488.3	0.10708		
1491	0.10558		
1493.1	0.10507		
1494.6	0.10407		
1497	0.10256		
1500.3	0.10155		
1502.4	0.10105		
1505.2	0.10004		
1507.6	0.09904		
1511.9	0.09721		
1514.6	0.09596		
1517.6	0.09501		
1520.4	0.09401		
1524	0.0925		
1527.4	0.09099		
1530.1	0.08998		
1533.2	0.08898		
1535.6	0.08797		
1536.2	0.08697		
1537.4	0.08697		
1540.8	0.08596		
1544.7	0.08495		
1547.4	0.08294		
1549.3	0.08244		
1552	0.08218		
1555	0.08142		
1557.2	0.08042		
1562.6	0.07929		
1566.9	0.07839		
1569.3	0.07689		
1572.7	0.07538		
1574.5	0.07488		
1574.8	0.07388		
1577.8	0.07337		
1579.1	0.07337		
1582.4	0.07186		
1585.4	0.07035		
1588.8	0.06988		
1590.9	0.06951		
1594.6	0.06922		
1598.2	0.06831		
1601.9	0.06803		
1603.7	0.06775		
1604.6	0.06686		
1609.5	0.06436		
1610.1	0.0639		
1612.8	0.06304		
1614.3	0.06312		
1616.8	0.06225		
1619.2	0.06127		
1622.5	0.06026		
1626.8	0.05925		
1627.7	0.05825		
1630.4	0.05774		
1634.4	0.05623		
1637.7	0.05622		
1640.2	0.05521		
1644.4	0.05448		
1645.3	0.05406		
1646.6	0.05366		
1648.7	0.05319		
1651.7	0.05268		
1653.2	0.05218		
1656.9	0.05167		
1659.3	0.05116		
1660.5	0.05072		
1661.8	0.0503		
1665.1	0.05001		
1668.1	0.04964		
1670.6	0.04863		
1672.7	0.04862		
1674.2	0.04812		
1677.6	0.04711		
1680.3	0.0461		
1683.3	0.0451		
1687	0.04443		
1688.2	0.04404		
1689.7	0.04408		
1691.2	0.04308		
1694.9	0.0421		
1697.3	0.04186		
1699.8	0.04115		
1701	0.04131		
1703.7	0.04104		
1708	0.04003		
1709.6	0.03955		
1713.1	0.0391		
1717.3	0.03915		
1719.1	0.03867		
1723.5	0.03795		
1727.1	0.03721		
1731.3	0.03633		
1735.4	0.03589		
1739	0.03493		
1742.3	0.03408		
1745.9	0.03352		
1748.2	0.03305		
1750	0.03307		
1752.7	0.03261		
1755.1	0.03264		
1759	0.03219		
1761.6	0.03172		
1764.6	0.03076		
1767.3	0.0298		
1770.3	0.02884		
1773.8	0.02904		
1777.1	0.02791		
1778.9	0.02802		
1782.8	0.02774		
1784.8	0.02786		
1789	0.0276		
1791.1	0.02671		
1792.3	0.02678		
1793.8	0.02686		
1796.1	0.02649		
1798.2	0.0261		
1800.3	0.02522		
1802.1	0.02483		
1808	0.02471		
1812.8	0.02405		
1818.8	0.02349		
1824.1	0.02338		
1829.2	0.02259		
1834.2	0.02216		
1836.9	0.02219		
1839.3	0.02172		
1844.6	0.02129		
1848.8	0.02034		
1855	0.0198		
1860.1	0.01866		
1866	0.01806		
1869.6	0.01791		
1875.6	0.01669		
1879.1	0.01627		
1883.9	0.01673		
1888.1	0.01585		
1890.4	0.01588		
1895.8	0.01545		
1901.1	0.01452		
1906.2	0.01478		
1911.6	0.01465		
1916.1	0.01371		
1920.8	0.01362		
1926.8	0.01234		
1931.3	0.0124		
1935.7	0.01207		
1940.2	0.01143		
1944.1	0.01123		
1950.1	0.01119		
1954.2	0.01069		
1962.3	0.0104		
1967.1	0.01032		
1973	0.00993		
1978.4	0.00977		
1984.7	0.00874		
1990.6	0.00815		
1997.5	0.00724		
2000.8	0.00728		
2008.2	0.0066		
2014.5	0.00667		
2018.7	0.00685		
2023.7	0.00658		
2028.2	0.00564		
2033.6	0.0052		
2037.4	0.00525		
2042.2	0.00481		
2047.6	0.00525		
2053.2	0.00495		
2058	0.00501		
2063.4	0.00482		
2067.6	0.00413		
2071.4	0.00444		
2074.7	0.0052		
2077.4	0.00538		
2079.8	0.00555		
2081.6	0.00517		
