Wavelength,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
nm,arb units,arb units,arb units,arb units,arb units,arb units
Concentration,0.01 µmol/ml,0.02 µmol/ml,0.03 µmol/ml,0.04 µmol/ml,0.05 µmol/ml,0.06 µmol/ml
727,0.02033,0.039,0.066,0.07467,0.10467,0.128
728,0.02033,0.039,0.066,0.074,0.104,0.12767
729,0.02,0.039,0.066,0.074,0.104,0.127
730,0.02,0.039,0.06567,0.074,0.10333,0.12667
731,0.02,0.039,0.065,0.07333,0.103,0.126
732,0.02,0.039,0.065,0.073,0.103,0.12567
733,0.01967,0.038,0.065,0.073,0.102,0.125
734,0.01933,0.038,0.064,0.072,0.10167,0.12433
735,0.01933,0.038,0.064,0.072,0.101,0.12367
736,0.01933,0.038,0.064,0.07133,0.10033,0.123
737,0.01933,0.037,0.063,0.071,0.1,0.122
738,0.01933,0.037,0.063,0.07033,0.099,0.12133
739,0.019,0.037,0.062,0.07,0.09833,0.12033
740,0.01867,0.03667,0.062,0.06933,0.09767,0.11967
741,0.01833,0.036,0.061,0.069,0.097,0.11867
742,0.01833,0.036,0.061,0.068,0.096,0.11767
743,0.01833,0.036,0.06,0.06767,0.09533,0.11667
744,0.01833,0.035,0.06,0.067,0.09467,0.116
745,0.018,0.035,0.059,0.06667,0.094,0.115
746,0.018,0.035,0.059,0.066,0.093,0.11367
747,0.01733,0.034,0.058,0.065,0.092,0.11267
748,0.01733,0.034,0.05767,0.06467,0.091,0.11167
749,0.01733,0.034,0.057,0.064,0.09,0.11033
750,0.017,0.033,0.056,0.063,0.089,0.10933
751,0.017,0.033,0.05567,0.06267,0.088,0.10833
752,0.01667,0.033,0.055,0.062,0.08767,0.107
753,0.01633,0.032,0.055,0.06133,0.08667,0.106
754,0.01633,0.032,0.054,0.06067,0.086,0.105
755,0.01633,0.032,0.053,0.06,0.085,0.104
756,0.016,0.031,0.053,0.05933,0.084,0.10233
757,0.016,0.031,0.052,0.05867,0.083,0.10133
758,0.01533,0.03033,0.05133,0.058,0.082,0.1
759,0.01533,0.03,0.051,0.057,0.081,0.099
760,0.01533,0.03,0.05,0.05633,0.08,0.098
761,0.015,0.029,0.05,0.056,0.079,0.09633
762,0.015,0.029,0.049,0.055,0.078,0.09533
763,0.01433,0.029,0.048,0.05433,0.077,0.094
764,0.01433,0.028,0.048,0.05367,0.076,0.093
765,0.01433,0.028,0.047,0.053,0.075,0.09167
766,0.014,0.02733,0.046,0.052,0.074,0.09033
767,0.014,0.027,0.046,0.05167,0.073,0.08933
768,0.01333,0.027,0.045,0.051,0.072,0.088
769,0.01333,0.026,0.04433,0.05,0.071,0.087
770,0.01333,0.026,0.044,0.04967,0.07,0.086
771,0.013,0.026,0.043,0.049,0.069,0.08467
772,0.013,0.025,0.043,0.048,0.06833,0.08333
773,0.01233,0.025,0.042,0.04733,0.06733,0.082
774,0.01233,0.02467,0.042,0.047,0.06633,0.081
775,0.01233,0.024,0.041,0.046,0.06567,0.08
776,0.012,0.024,0.04,0.04533,0.06467,0.079
777,0.012,0.023,0.04,0.04467,0.06367,0.07733
778,0.01133,0.023,0.039,0.044,0.06267,0.07633
779,0.01133,0.023,0.038,0.043,0.062,0.07533
780,0.01133,0.022,0.038,0.043,0.061,0.07433
781,0.01133,0.022,0.037,0.042,0.06,0.073
782,0.011,0.022,0.037,0.041,0.059,0.072
783,0.011,0.021,0.036,0.04067,0.058,0.071
784,0.01067,0.021,0.03567,0.04,0.05733,0.07
785,0.01033,0.021,0.035,0.03967,0.05667,0.069
786,0.01033,0.02033,0.03467,0.039,0.056,0.068
787,0.01033,0.02,0.034,0.038,0.055,0.067
788,0.01,0.02,0.033,0.038,0.054,0.066
789,0.01,0.01933,0.033,0.037,0.053,0.065
790,0.00967,0.019,0.032,0.036,0.052,0.06367
791,0.00933,0.019,0.032,0.036,0.05167,0.063
792,0.00933,0.01867,0.031,0.035,0.051,0.06167
793,0.00933,0.018,0.031,0.035,0.05,0.061
794,0.009,0.018,0.03,0.034,0.049,0.05967
795,0.009,0.01733,0.03,0.03333,0.048,0.059
796,0.00833,0.017,0.029,0.033,0.04733,0.058
797,0.00833,0.017,0.029,0.03267,0.047,0.057
798,0.00833,0.017,0.028,0.032,0.046,0.056
799,0.008,0.01633,0.028,0.031,0.04533,0.055
800,0.008,0.016,0.027,0.031,0.04467,0.05433
