wavenumber	intensity
cm\+(-1)	a.u.
823.9231	3637.75719459978
825.8516	3643.05058316885
827.78	3627.84169097344
829.7085	3592.27781808029
831.637	3537.70368769677
833.5654	3466.60890764092
835.4939	3382.49128423648
837.4224	3289.6436616183
839.3508	3192.87795039431
841.2793	3097.20511964908
843.2078	3007.49374172819
845.1362	2928.13187522569
847.0647	2862.71743909034
848.9932	2813.8006954943
850.9216	2782.69909058225
852.8501	2769.39971199005
854.7786	2772.55835104083
856.707	2789.59705326732
858.6355	2816.89462579235
860.564	2850.05740336413
862.4924	2884.25121065439
864.4209	2914.57040329979
866.3494	2936.41654295387
868.2778	2945.8579591903
870.2063	2939.94232248623
872.1348	2916.93738369799
874.0632	2876.48004625093
875.9917	2819.6205909234
877.9202	2748.75669803322
879.8486	2667.46033435277
881.7771	2580.2089578065
883.7056	2492.040194005
885.634	2408.15554289085
887.5625	2333.50325304691
889.491	2272.37285412223
891.4194	2228.03372395421
893.3479	2202.44742976213
895.2764	2196.07855892219
897.2048	2207.82166895809
899.1333	2235.05333132506
901.0618	2273.80864707651
902.9902	2319.07179270639
904.9187	2365.16086713279
906.8472	2406.17929227817
908.7756	2436.49992972058
910.7041	2451.24444457847
912.6326	2446.71963120812
914.561	2420.77456297747
916.4895	2373.0474658172
918.418	2305.07884296776
920.3464	2220.27708821002
922.2749	2123.7339328158
924.2034	2021.89876457961
926.1318	1922.1322521647
928.0603	1832.16991605666
929.9888	1759.53448264663
931.9172	1710.94134179238
933.8457	1691.7436865934
935.7742	1705.46266231923
937.7026	1753.44306265165
939.6311	1834.66702674961
941.5596	1945.74730911188
943.488	2081.1087428866
945.4165	2233.35240349264
947.345	2393.78272795907
949.2734	2553.06452507438
951.2019	2701.96545631403
953.1304	2832.13109844707
955.0588	2936.83485125257
956.9873	3011.64421782736
958.9158	3054.94856120598
960.8442	3068.30121754539
962.7727	3056.5403977748
964.7012	3027.66792039612
966.6296	2992.48152582972
968.5581	2963.97418277618
970.4866	2956.53116152394
972.415	2984.97145504034
974.3435	3063.49318984782
976.272	3204.59196390157
978.2004	3418.02579992446
980.1289	3709.90013728844
982.0574	4081.94087763072
983.9858	4531.01318670755
985.9143	5048.9291298685
987.8428	5622.56919296642
989.7712	6234.32248736964
